time_points,initial_state,qfi_values,m_0_values,m_1_values,N,h,J,tau
676,PHYS,0.04261445049988343,0.45568091769652685,0.00016308427293469928,40,0.4,1.0,1.0
683,PHYS,0.042434758456877046,0.4556809176964295,0.00016308427294322588,40,0.4,1.0,1.0
691,PHYS,0.04229033352353117,0.4556809176963186,0.00016308427295578243,40,0.4,1.0,1.0
699,PHYS,0.04202642923827559,0.45568091769620755,0.00016308427296903016,40,0.4,1.0,1.0
707,PHYS,0.04192553359168941,0.4556809176960949,0.0001630842729822335,40,0.4,1.0,1.0
716,PHYS,0.041803110095859956,0.45568091769596847,0.0001630842729968593,40,0.4,1.0,1.0
724,PHYS,0.041754541608646535,0.45568091769585684,0.0001630842730090891,40,0.4,1.0,1.0
732,PHYS,0.04188699459874052,0.45568091769574454,0.00016308427302145213,40,0.4,1.0,1.0
741,PHYS,0.04193527070393904,0.4556809176956199,0.00016308427303490385,40,0.4,1.0,1.0
749,PHYS,0.04213166225606091,0.45568091769551033,0.0001630842730477533,40,0.4,1.0,1.0
758,PHYS,0.04232319486152452,0.45568091769538155,0.0001630842730621043,40,0.4,1.0,1.0
767,PHYS,0.042580432064121314,0.45568091769525676,0.00016308427307375333,40,0.4,1.0,1.0
776,PHYS,0.042924762640452786,0.4556809176951302,0.0001630842730904622,40,0.4,1.0,1.0
785,PHYS,0.0431611004237771,0.455680917695007,0.00016308427310282174,40,0.4,1.0,1.0
794,PHYS,0.04353469849347018,0.45568091769487873,0.00016308427311832185,40,0.4,1.0,1.0
803,PHYS,0.04375224923963098,0.4556809176947544,0.00016308427313197252,40,0.4,1.0,1.0
812,PHYS,0.04398361064440518,0.4556809176946275,0.00016308427314635222,40,0.4,1.0,1.0
